question,answer,intent
Alpha-1 antitrypsin deficiency occurs in,Emphysema,general_faq
Which one of the following immunoglobulins constitutes the antigen binding component of B-cell receptor -a) IgAb) IgDc) IgMd) lgG,a,general_faq
Snellen's cha is used to test:,Vision,general_faq
R-factor in bacteria is transferred by,Transduction,general_faq
Combination of Nifedipine with what other tocolytic agent can potentially cause dangerous neuromuscular blockade.,Terbutaline,general_faq
Griesofulvin is not useful in one of the following,Tinea capitis,general_faq
All the following polyps are premalignant except:March 2011,Juvenile polyposis syndrome,general_faq
Management of medulloblastoma in 1.5 year old. What is not done in curative therapy?,Open surgery with leaving the tumour margins,treatment_procedure
Qualitative data presentation diagrams are all except:,Pie diagram,general_faq
"A 25year old male presents with painless sudden loss of vision, ocular and systemic examination is not contributory. What is probable diagnosis",Retinal detachment,symptoms_diagnosis
Systemic causes of epistaxis are all except:,Hypeension,general_faq
True about peripheral nerve injury in upper limb-a) Radial nerve injury cause anaesthesia over anatomical snuff boxb) Median nerve injury cause wrist dropc) Ulnar nerve injury cause claw handd) Index finger anesthesia is caused by median nerve injurye) Thumb anaesthesia is caused by ulnar nerve injury,abc,general_faq
Melanin is formed from which aminoacid?,Phenylalanine,general_faq
vitamin involved in 1 carbon metabolism,Folic acid,nutrition_advice
Raygat's test is based on:,Weight of lung,general_faq
The number of line angles in a permanent maxillary central incisor is,Two,general_faq
Which of the following drug causes Pseudotumour cerebri -,Sparfloxacin,medicine_info
Main action of superior rectus -,Extorsion,general_faq
One gray of radiation is equal to:,1 rad,general_faq
A patient present with lower gastrointestinal bleed. Sigmoidoscopy shows ulcers inthe sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment -,Intravenous ceftriaxone,nutrition_advice
Occlusal morphology is given by:,Okeson,general_faq
Neurotransmitter released in response to raised blood pressure:,Acetylcholine,general_faq
Treatment of Acute pancreatitis includes all except,Calcium,nutrition_advice
Radiological sign of ischemic colitis is,Popcorn appearance,general_faq
Which of the following is associated with suicide risk?,Noradrenaline,general_faq
All are seen in injury to common peroneal nerve except?,Loss of sensation over sole,general_faq
"A 17 year old female presents with a pruritic rash localized to the wrist. Papules and vesicles are noted in a bandlike pattern, with slight oozing from some lesions. The most likely cause of the rash is NOT RELATED -DERMATOLOGY",Herpes simplex,general_faq
Adenosine deaminase in CSF is significantly higher in -,Tuberculosis meningitis,general_faq
Average duration of function of primary dentition,6 years,general_faq
Malignant gastric ulcers are characterized by all except,ulcer extends beyond the gastric wall.,general_faq
Rigor mortis in fetus is:,Usually not seen before 7 months,general_faq
Which disease doesn't require chemoprophylaxis?,Measles,general_faq
M/c cause of chronic laryngeal stenosis ?,Trauma,general_faq
Thaliomide is used in all except ?,ENL,general_faq
Chest X-ray showing opacity in the lung with irregular calcification is suggestive of –,Lung carcinoma,general_faq
Cribriform hymen is seen -,Post paum,general_faq
What is the action of marked muscle:,Supination of the forearm and flexion of the elbow,general_faq
"A patient died during surgery. The relatives allege that death was due to negligence, According to a recent Supreme Court judgment, doctor can be charged for Medical Negligence under section 304-A, only if:",There is corporate negligence,nutrition_advice
Identical twins can be differentiated by:-,Finger print,general_faq
"If a doctor gives a -false medical certificate to a patient, he is liable to be prosecuted under which section of the IPC -",137,general_faq
"The triad of cirrhosis, hemochromatosis and diabetes are referred to as",Silver diabetes,general_faq
Which of the following tests is most sensitive for detecting early diabetic nephropathy -,Serum Creatinine,general_faq
"An 8-year-old child is evaluated by the pediatrician, who notes small cafe-au-lait spots on the child's torso. In addition, on close inspection of the eyes, the presence of Lisch nodules is noted. The patient is eventually diagnosed with neurofibromatosis type 1. The protein that is mutated in this disorder normally does which of the following functions?",Activates the GTPase activity of Ras,symptoms_diagnosis
Reese-Ellsworth classification is used for?,Rhabdomyosarcoma,general_faq
ulimia nervosa is assosiated with,impulsive behaviour,general_faq
The treatment of choice in fistula in ano,Anal dilatation,nutrition_advice
Hutchinsons secondaries In skull are due to tumors in,Lung,general_faq
`Coronory steal phenomenon' is caused by ?,Dipyridamole,general_faq
Broca's area is situated in,Inferior frontal gyrus,general_faq
Which is the immunoglobulin which activates complement by alternate pathway?,Ig E,general_faq
Primary impact injury to brain: DNB 10,Concussion,general_faq
The optic cup is an evagination of which of the following?,Telencephalon,general_faq
"NOT a ductus dependent congenital heart disease
among the following is",Tetralogy of fallot,general_faq
"For cephalometric projection, what should be the distance between source and the subject?",5 feet,general_faq
Which of the following is absolutely essential for wound healing,Vit D,general_faq
"H. pylori has been implicated in all, except",Gastric ulcer,general_faq
Drug which does not cause hemolysis in G6PD deficiency is ?,Primaquine,medicine_info
Which of the following is not a 'heterophile reaction':,Weil Felix test,general_faq
All are true about spinal tuberculosis except ?,Back pain earliest symptom,general_faq
Which one of the following is not an objective of trituration?,Remove oxides from powder particle surface,general_faq
Pott's spine is commonest at which spine:,Thoracolumbar,general_faq
Delusion that someone from high socio economic status is loving you is in -,Othello syndrome,general_faq
Middle superior alveolar nerve is a branch of which of the following nerve?,Facial Nerve,general_faq
β - blocker toxicity is treated by,Atropine,nutrition_advice
Spinal anaesthesia in an adult is given at this level:,T12-L1,general_faq
Virus that has increased association with anal was:,HPV,general_faq
Malaria causing nephrotic syndrome -,P. vivax,general_faq
Transplacental exchanges that take place are essential to the well being of the fetus. Which of those listed below is NOT a method?,Simple diffusion,general_faq
"There is a case of infanticide. During the post-moem examination, the doctor performs Breslau's second life test. This test detects changes in which of the following organ",Brain,general_faq
Hot flushes are experienced as a result of,Increased noradrenaline,general_faq
True about Bochdalek hernia is -,Seen on right side,general_faq
Grynfeltt triangle not bounded by,12th rib,general_faq
Submandibular gland is divided into superficial and deep parts by -,Digastric,general_faq
Typhoid carriers are detected by following except ?,Isolation of bacteria from urine,general_faq
Daily loss of Iron per day in a healthy adult male is,0.06 mg,general_faq
Hyaline in islets of Langerhans resemble -,Mucin,general_faq
'Safe zone' of the eye ball is:,At the limbus,general_faq
Uveoparotitis is seen in -,SLE,general_faq
Which of the following is NOT a grass-root level worker?,Anganwadi worker,general_faq
Regarding HIV which of teh following is nopt true -,It is a DNA retrovirus,general_faq
Neutral amino acid is -,Aspartate,general_faq
Tooth with hyperemia will give response to electric pul tester?,Low reading than control teeth,general_faq
Most common cause of gangrene of foot of a 30 year old farmers who is a chronic smoker,Atherosclerosis,general_faq
Hyponatremia in multiple myeloma is -,TRUE,general_faq
Pyrogens act on which site of brain ?,Basal ganglia,general_faq
Essential drug is?,Drugs that has been developed specifically to treat a rare medical condition,medicine_info
All are true foe annular pancreas except,Upper GI series is IOC,general_faq
all the following are non-competitive inhibitors except ?,arsenate,general_faq
"A non diabetic, non hypertensive patient has some extra beats in pulse. Doctor informed that is benign and no intervention required. But patient is worried that it is a serious cardiac disorder and is still going for repeated investigation & going from doctor to doctor. This is a type of:",Conversion disorder,nutrition_advice
"A Thirty five year old female has proximal weakness of muscles, ptosis and easy fatigability. The most sensitive test to suggest the diagnosis is -",Muscle Biopsy,general_faq
In Chronic Viral Hepatitis:,Hepatitis A virus infection is a common cause inchildren,general_faq
An antipsychotic drug with prolonged action -,Trifluperazine,medicine_info
Which of the following inherited neutropenias show a self limited course?,Shwachman-Diamond syndrome,general_faq
"Among the following, which one is considered as 'pathologic problem' while planning treatment in orthodontics?",Tendency of lower jaw and teeth to be behind upper,nutrition_advice
Which ocular muscle does NOT arises from apex of orbit,Superior rectus,general_faq
Commonest complication following haemorrhoidectomy is -,Hemorrhage,general_faq
Carotid aery stenosis in -vivo screening choice is,USG,general_faq
Which if the following is the ‘Yellow fever’ reference centre?,"Haffkin’s institute, Mumbai",general_faq
Most common cause of stridor after birth:,Laryngeal papilloma,general_faq
Human immunoglobulin is given in all except,Measles,general_faq
"A 30 year old presents with nausea, weakness, headache and impaired vision and high anion gap metabolic acidosis. Most likely cause is:",Methanol,general_faq
The true statement regarding supracondylar fracture of the humerus in children?,Admission to hospital is essential following reduction,general_faq
Bochdalek hernia is related to -,Inguinal canal,general_faq
Which of the following milestone is achieved at 36 months -,Drawing a rectangle,general_faq
The Point of distinction between paial mole to complete mole is,Paial mole show trophoblastic proliferation with absent villi,general_faq
Familial adenomatous polyposis is characterized by all except,Autosomal recessive transmission,general_faq
NSAIDS with least anti inflammatory' action -,Indomethacin,general_faq
What would you advise a mother who has an allergy to protein but still wants to breastfeed?,Assure her that breastfeeding would not pass on the allergy to the infant,general_faq
All are true about ulnar nerve except:,Root value C8TI,general_faq
Type-1 hypersensitivity includes all of the following except:,Autoimmune hemolytic anemia,general_faq
Which of the following is the most common benign neoplasm of liver,Hepatic adenoma,general_faq
"A child presents with Hepatosplenomegaly, Abdominal distension, Jaundice, Anemia and Adrenal calcification. Which of the following is the Diagnosis?",Adrenal hemorrhage,general_faq
Pulled up cecum is seen in -,CA colon,general_faq
Basal lamina of blood vessel in CNS is secreted by,Endothelial cells,general_faq
Topical Mitomycin C is used for _________,Endoscopic treatment of angiofibroma,general_faq
"The median of values 2, 5, 7, 10, 10, 13, 25 ?",10,general_faq
Which of the following conditions does not have a National Screening/Control Programme?,Diabetes Mellitus,general_faq
Prognosis of breast carcinoma is best determined by ?,Oestrogen \/ progesteron receptors,general_faq
A 3 year old child comes with complaint of limp diagnosis is,Septic Arhritis,general_faq
"Peripheral neuropathy can be as a side effect of all of the following anti-retroviral drugs, EXCEPT:",Lamivudine,medicine_info
Pheochromocytoma is associated with -,Vitiligo,general_faq
1st evidence of calcification of Mandibular deciduous Lateral incisor occurs,14 wk IU,general_faq
The EEG cabins should be completely shielded by a continuous sheet of wire mesh of copper to avoid the picking of noise from external electromagnetic distrubances. Such a shielding is called as -,Maxwell cage,general_faq
The T wave on an ECG tracing represents which of the events in the cardiac cycle?,Atrial depolarization,general_faq
Not a fungal infection is:,Mycoses fungoides,general_faq
"A patient with leukemia on chemotherapy develops acute right lower abdominal pain associated with anemia, thrombocytopenia and leukopenia. Which of following is the clinical diagnosis -",Appendicitis,symptoms_diagnosis
Most stable amino acid at the physiological pH is,Histidine,general_faq
Nerves are not involved in ?,Tuberculoid leprosy,general_faq
"In transvaginal ultrasound, earliest detection of gestation sac is by :",21 days after ovulation,general_faq
The drug that inhibits uterine contractility and cause pulmonary edema is :,Ritodrine,medicine_info
"45-year-old female has history of slip in bathroom complaints of pain right hip, tenderness in scarpas triangle and normal X-ray. Next investigation is:",USG guided aspiration,symptoms_diagnosis
"Which of the following is not true regarding ""thumb sucking""",Feels insecurity,general_faq
All vaccines are contraindicated in pregnancy except,BCG  Vaccine,general_faq
H pylori causes all except,Peptic ulcer,general_faq
"A 33-year-old male immigrant from Taiwan presents with increasing right upper quadrant (RUQ) pain. The pain is dull, and it does not radiate or change with eating. On examination the abdomen is soft, there is a mass in the RUQ, and no ascites is clinically detected. He has a prior history of hepatitis B. His laboratory investigations reveal hepatitis B surface antigen (HBsAg) positive, hepatitis B surface antibody (HBsAb) negative, aspartate amino transferase (AST) 60 U/L, alanine amino transferase (ALT) 72 U/L, and an elevated alpha-fetoprotein level. Which of the following is the most likely diagnosis?",hepatoma,nutrition_advice
Most sensitive investigation for cystic fibrosis is?,CT scan,general_faq
If parents or guardian is not available consent can be taken from teacher or principal under,Therapeutic privilege,general_faq
Good diabetic control is said to be present when glycosylated hemoglobin is,7-9%,general_faq
"A 47-year-old man with type II diabetes repos for his 6-month checkup. His doctor prescribes a daily 30-minute routine of walking at a brisk pace. During aerobic exercise, blood flow remains relatively constant to which of the following organs?",Brain,general_faq
"In a patient presenting with diarrhoea due to vibrio cholera, which of the following will be present ?",Abdominal pain,general_faq
"Indirect pulp capping procedures on primary molars are
indicated when:",Removal of decay has exposed the pulp,treatment_procedure
The neurotransmitter agent that is normally released in the SA node of the heart in response to increased blood pressure is:,Acetylcholine,general_faq
Capitonnage is used in treatment of,Choledochal cyst,nutrition_advice
"After a 26-year-old man's car was roadsided by a large truck, he is brought to the emergency depament with multiple fractures of the transverse processes of the cervical and upper thoracic veebrae. Which of the following muscles might be affected?",Trapezius,general_faq
The predominant symptom/sign of pheochromocytoma is:,Sweating,symptoms_diagnosis
"Which of the following can lead to infiltration of ear lobules, loss of nails and resorption of distal phalanges?",Tuberculoid leprosy,general_faq
Man is the only reservoir for,Salmonella,general_faq
Which of the following about phenytoin is true ?,It follows zero order kinetics,general_faq
"Definite diagnosis of pregnancy include all, except: Kerala 09; 11",Fetal hea sound,general_faq
A 30-year-old male on methotrexate 7.5 mg once daily for arthritis attends clinic for starting family. Wife takes no other medication apart from OCP. What should be the advice before conceiving?,Husband should stop methotrexate and wife should continue contraception for 3 months,medicine_info
The commonest site of lodgement of a pulmonary embolus is in the territory of -,Rt. lower lobe,general_faq
Phage typing is widely used for the intraspecies classification of one of the following bacteria -,Staphylococci,general_faq
Shortest acting local anaesthetic agent is –,Procaine,general_faq
Primary level of prevention is?,Prevention of emergence of risk factors,general_faq
"A 41-year-old male patient presented with recurrent episodes of bloody diarrhoea for 5 years. Despite regular treatment with adequate doses of sulfasalazine, he has had several exacerbations of his disease and required several weeks of steroids for the control for flares. What should be the next line of treatment for him?",Methotrexate,medicine_info
All are causes of white-dot syndrome except:,Fuch's heterochromic uveitis,general_faq
The maintenance dose of digoxin,0.25 mg/day,medicine_info
A 26-year-old recently married woman presents with tender nodules on her shin. Initial history taking should include questions about,Her stress level,general_faq
Following angiography findings are most likely seen in which condition:,Kawasaki,general_faq
True about Post traumatic fat embolism syndrome is A/E,Bradycardia occur,general_faq
BISAP score is used for to assess severity of,Pancreatitis,general_faq
"Regarding anaplastic carcinoma, which of the following statement is true?",Common in young,general_faq
"What is the expected mixed venous oxygen tension, in mm Hg, in a normal adult after breathing 100% oxygen for 10 minutes?",150,nutrition_advice
"After falling on the pavement, a 72-year-old woman is found to have a fracture of the radius and ulna (Colles' fracture). What is true of this fracture?",The fall occurs on the dorsum of the wrist.,general_faq
"A two way process of exchanging or shaping ideas,
feeling and information is called as",Education,symptoms_diagnosis
N. gonorrhea causes -,Urethritis,general_faq
Unsaturated fatty acids are converted to:,Prostaglandins,general_faq
Phenylketonuria caused by deficiency of,Tyrosine transaminase,general_faq
Intrinsic factor is required for absorption of ?,Folic acid,general_faq
Declaration of oslo deals with -,Organ donation,general_faq
1-3 beta-D-glucanassay for fungi is not used for?,Aspergillus species,general_faq
Carpal tunnel contains all except -,Median nerve,general_faq
Most common inherited childhood tumor is:,Leukemia,general_faq
What is true about Salter-Harris type IV epiphyseal injury:,Fracture occur through growth plate only,general_faq
Gradient in pulmonary aery wedge pressure and left ventricular end diastolic pressure is seen in,Aoic regurgitation,general_faq
". In the fed state, major fate of Glucose 6-PO4 in tissues is :",Storage as Fructose,general_faq
Brachytherapy is used in :,Stage lb Ca cervix,treatment_procedure
Synthesis of protein occurs on:,Mitochondria,general_faq
Chlamydia are isolated by :,Enzyme immune assay,general_faq
All nerves pass thorugh greater sciatic notch except ?,Superior gluteal nerve,nutrition_advice
Which of the following metal is considered as the principal hardener and gives red colour to the alloy?,Platinum,general_faq
Abruptio placentae occurs in all except:,Smokers,general_faq
Best IOL is –,Anterior chamber,general_faq
Which of the following procedure is not done in CHC?,Aboion,treatment_procedure
All of the following are inhalational anesthetic agents except,Halothane,general_faq
'Time out' is useful in the treatment of:,Temper Tantrums,nutrition_advice
"In sickle cell anaemia, the defect can be explained as having arisen from -",A base inseion in DNA,general_faq
In myocardial infarction the infarct acquires hyperemic rim with an yellow centre at,3-7 days,general_faq
Torus aorticus involves:,Left atrium,general_faq
Cranial end of Wolffian duct forms:,Epoophoron,general_faq
A 25 years old female comes to your clinic for evaluation of infertility. A hysterosalpingogram reveals Asherman's syndrome. What symptoms will the patient have?,Menorrhagia,symptoms_diagnosis
All are hepatotoxic except,Halothane,general_faq
Charcot's triad include,"Fever, pain, jaundice",general_faq
A myocardial infarct specimen is showing early granulation tissue. According to this change when has the infarct occurred?,Less than 1 hour,general_faq
Helper T-cells are primarily involved in -,Cell mediated immunity,general_faq
About biotransformation not true ?,Active metabolite generation,general_faq
"A patient of Schizophrenia was staed on neuroleptics, his psychotic symptoms began to improve however he developed sadness, would talks less to others, would mostly remain to bed. This presentation could be caused by all of following except:",Parkinsonism,symptoms_diagnosis
Fick principle of calculation of cardiac output doesn't depend on-,Whole body oxygen consumption,general_faq
Which wall of hea is enlarged first in a patient with mitral stenosis ?,Left atrium,general_faq
Least common valve involved in rheumatic fever?,Aoic valve,general_faq
Hockey stick appearance on echo is a feature of,Mitral stenosis,nutrition_advice
"All are the pharmacologic therapeutic options for achalasia, EXCEPT:",Nitrates,general_faq
Pulmonary plethora is seen in ?,TAPVC,general_faq
Treatment for scabies is,Erythromycin,nutrition_advice
Levamisole is used as all except -,Single dose in ascariasis,general_faq
"In obstruction of second pa of axillay aery, theanostomosis between the following aery will maintain the blood supply of upper limb:",Deep branch of transverse cervical aery & subscapular aery,general_faq
True about vit–D deficiency rickets –a) Vit. D3 given at a dose of 50–150 mg/dayb) X–ray knee joint is diagnosticc) Rickety rosary is tenderd) Increased chances of respiratory tract infectione) Hyponatrernia,c,medicine_info
"For diagnosis of diabetes mellitus, Fasting blood glucose level should be more than -",126 mg/dl,general_faq
Which of the following is a radiolucent stone?,Uric acid,general_faq
Oolani&;s test is used in,congenital dislocation of knee,general_faq
Multiple myeloma most common part involved is-,Bone marrow,general_faq
Which of the following hallucinations is pathognomonic of schizophrenia -,Auditory hallucinations commanding the patient,general_faq
Most permissible capillaries are seen in,Kidney,medicine_info
All of the following agents act by intracellular receptors EXCEPT:,Thyroid hormones,general_faq
Head of sperm is derived from:,Golgi Body.,general_faq
Which of the following is a true statement regarding Enterobacteriaceae:,Motility is by polar flagellum,general_faq
Morbid jealousy is associated with which addiction?,Alcohol,general_faq
Which of the following is not associated with zinc deficiency: March 2005,Delayed wound healing,general_faq
Which of the following muscles is responsible for abduction of vocal cord,Posterior cricoarytenoid,general_faq
Drug of choice for maintenance therapy in PSVT is-,Amiodarone,medicine_info
A mother has been diagnosed with chicken pox. She delivered 7 days ago a term infant that appears to be healthy. The baby is afebrile. Which of the following is the most appropriate step in management?,Advise the mother to continue regular baby care,symptoms_diagnosis
Which of the following statement is/are true about Obstructive lung disease ?,"mMRC dyspnea scale ,grade 2 includes shoness of breath when hurrying up inclines",general_faq
Naturally occurring LA –,Cocaine,general_faq
Wax pattern for casting is made up of,Inlay wax,general_faq
Which of the following is involved in tumor metastasis cascade -,Fibronectin,general_faq
"If the prevalene is very low as compared to the incidence for a disease, it implies -",Disease is very fatal and/or easily curable,general_faq
"A 55-year-old man presents with recurrent epigastric pain. Upper GI endoscopy and gastric biopsy reveal a neoplastic, lymphocytic infiltrate invading glandular tissue. Giemsa staining is positive for Helicobacter pylori. Which of the following is the most likely diagnosis?",Burkitt lymphoma,symptoms_diagnosis
"WHO stage IV HIV includes all, except:",Toxoplasmosis,general_faq
Non immunized susceptible diphtheria contacts should receive:,Erythromycin,general_faq
Bias is unlikely to invalidate cohort studies used to assess risk of exposure because -,Data collection is prospective,general_faq
The following is true of vancomycin EXCEPT :,It is a bactericidal antibiotic active primarily against gram positive bacteria,general_faq
Most common form of leptospirosis:,Weil's disease,general_faq
LASIK (Laser assisted in situ keratomileusis) is useful in treatment of,Myopia,nutrition_advice
Obesity indices are -,Broca's index,general_faq
Which of the following coagulation factors causes cross-linking and stabilization of clot?,Factor XIII,general_faq
A 67 year male smoker presents with haemoptysis and cough. Brochoscopic biopsy revealed undifferented tumour. The immunohistochemical marker that can be most helpful is:,Calretinin,general_faq
"A 47-year-old woman is admitted to the hospital with signs of cavernous sinus thrombosis. Radiographic examination reveals a pituitary tumor involving the cavernous sinus, confirming the initial diagnosis. During physical examination it is suspected that the right abducens nerve of the patient has been damaged by the tumor. In which direction will the physician most likely ask the patient to turn her right eye to confirm the abducens nerve damage, assuming she is unable to perform this task?",Inward,general_faq
Ninhydrin test is used for ?,Bile salts,general_faq
Insulin secretion is inhibited by,Secretin,general_faq
"The neurosurgeon had removed a portion of the dense tissue (dura mater) covering the brain of the patient when she removed the tumor that had invaded the skull. To replace this important tissue covering of the brain, she took a band of the aponeurotic tissue of the lateral aspect of the thigh, covering the vastus lateralis muscle. What muscle, supplied by the inferior gluteal nerve, inserts into this band of dense tissue as part of its insertion?",Gluteus medius,general_faq
Not a premalignant condition: March 2005,Retinitis pigmentosa,general_faq
Which of the following is not an alkylating agent?,Cyclophosphamide,general_faq
Caudate lobe of liver is ?,I,general_faq
Patient diagnosed as squamous cell intraepithelial lesion which of the following has the highest risk for progression to carcinoma;,Low grade squamous intraepithelial neoplasia,symptoms_diagnosis
Oblitration of left cardiac shadow on PA view is due to:,Lingular lesion,general_faq
"True about miliary tuberculosis -a) Occurs following primary reactivationb) Occurs following secondary reactivationc) Both primary and secondary reactivation d) Commonly affects liver, kidney and spleen",ab,general_faq
'Ring sign' is seen in: September 2003,Scurvy,general_faq
"In varicocele surgery, venous drainage is done by:",IVC,treatment_procedure
Pineal gland forms ?,Floor of third ventricle,general_faq
"Regarding Clostridium perfringens gas gangrene, false is -",Common cause of gas gangrene,general_faq
Operation of choice in GERD is,Highly selective vagotomy,general_faq
Drug of choice for prevention of NSAID induced peptic ulcer disease is,H2 receptor blockers,medicine_info
Reversible loss of polarity with abnormality in size and shape of cells is known as?,Metaplasia,general_faq
Hassal's corpuscles are seen in:,Thymus,general_faq
"A woman trying to get pregnant has a sister whose child has an autosomal recessive disease characterized by dysfunction of mucus-secreting cells. As a result, this child has abnormally thick mucus that tends to precipitate into dense plugs that obstruct the pancreatic ducts, bronchi, and bronchioles, as well as the bile ducts. Which of the following tests could be performed to determine if this woman and her husband are carriers of this disease?",Nohern blot,nutrition_advice
Which of the following drugs is associated with untoward side effect of renal tubular damage-,Cisplatin,medicine_info
Prinzmetal angina is-,Angina after extreme exertion,general_faq
A 20 year old is found to have blood pressures of 134/82 and 136/83 on two separate occasions. He will be classified as:,Normotensive,general_faq
The following antibiotic accentuates the neuromuscular blockade produced by pancuronium:,Streptomycin,general_faq
True statements regarding Depolarizing muscle relaxant are all EXCEPT: March 2013 (a),Cause muscle fasciculation,general_faq
Reticulocytes are stained by,Methylviolet,general_faq
Which of the following tooth can show any of the eight types of Vertucci’s classiﬁcation?,Lower 1st premolar,general_faq
Most common diaphragmatic hernia in children is:,Through the foramen of Bochdalek,general_faq
True about mesenteric vein thrombosis ?,Peritoneal signs are always present,general_faq
Which of the following diuretics acts at the nephron's distal tubule?,Ethacrynic acid,general_faq
Cardiac polyp is seen in,Acute nephritis,general_faq
Uterine blood flow at term is?,800-1200 ml/min,general_faq
Hypersensitivity vasculitis involve,Capillary,general_faq
Optimal front-line treatment of squamous cell carcinoma of the anal canal includes:,Abdominal perineal resection.,nutrition_advice
All of the following are except- advantages of LMA,More reliable than face mask,general_faq
Coronary blood flow is maximum during?,Isovolumetric contraction,general_faq
Thickness of lead apron to prevent radiation -,1 mm,general_faq
Which of the following structures pass through aoic hiatus?,Thoracic duct and azygos vein,general_faq
Inclusion body conjunctivitis true is all except:,Self limiting,general_faq
"A labourer involved with repair-work of sewers was admitted with fever, jaundice and renal failure. The most appropriate test to diagnose the infection in this patient is -",Weil Felix test,symptoms_diagnosis
Fried Egg Colonies are produced by?,Chlamydia,general_faq
All are antiplatelet drugs Except :,Aspirin,medicine_info
"Children with apathy, general weakness, loosening of the skin, marasmic features also has X3B Xerophthalmia features. Eye finding will be",Corneal ulcer with thickening,nutrition_advice
Structure superficial to mylohyoid in anterior digastric triangle are:,Deep pa of submandibular gland,general_faq
True about legionella-,Most common mode of transmission is aerosal inhalation,general_faq
Most important in diagnosing Acute Hepatitis B is,IgG Anti-HBc,general_faq
A patient presents to the emergency department with uniocular diplopia. Examination with oblique illumination shows golden crescent while examination with coaxial illumination show a dark crescent line. Which of the following is the most likely diagnosis –,Lenticonus,general_faq
Deficiency in globin synthesis,Thalassemia,general_faq
Ketamine is safe in,Raised ICT,general_faq
All of the following structure lies outside the cavernous sinus except,Sphenoidal air sinus,general_faq
The coronary sinus,Lies in anterior pa of the coronary sulcus,general_faq
Which of the following drugs is recommended for the treatment of Heparin Induced thrombocytopenia?,Abciximab,medicine_info
"The content of base pair A in the DNA is 15%, what could be the amount of G in DNA according to Chargaff's base pair rule?",15%,general_faq
Which test is used to compare kapian-meier survival curve-,T-test,general_faq
This condition is best treated by:,Intra-keloidal injection of triamcinolone,nutrition_advice
Ascospore is -,Asexual spore,general_faq
Glucose is reabsorbed in which pa?,Early PCT,general_faq
Which of the following conditions cause congestive hea failure in neonates ?,Bicuspid aoic valve,general_faq
Actinomycosis most commonly affects,Thorax,general_faq
Daily maintenance fluid for a child weighing 24 kg is:,1000 mL/day,general_faq
Vaginal bleeding in a neonate is commonly due to:,Sarcoma boytroides,general_faq
"In PML, all of the following are seen except :",Retinoic acid is used in treatment,general_faq
Typically bilateral inferior subluxations of the lens is seen in –,Marfan's syndrome,general_faq
Basophilic stippling is due to,Ala synthetase deficiency,general_faq
"Heller's myotomy is done for: September 2007, 2009, 2010",Esophageal carcinoma,general_faq
"In Profound MR, IQ is",50-69,general_faq
Treatment of systemic or disseminated variant of sporotrichosis is,Itraconazole,nutrition_advice
Phyllodes tumor most commonly presents in ?,2nd decade,general_faq
A 32 years old male has got clean wound without laceration. He had booster dose of TT 6 years back. What is next line of management?,Wound care with single dose of tetanus toxoid,medicine_info
Which of the following staphylococcal protein is a superantigen-,Exfoliative toxin,general_faq
"Following antimicrobials are termed as type I calcimimetics that mimic the stimulatory effect of calcium, on the calcium sensing receptor to inhibit PTH secretion by the parathyroid gland EXCEPT:",Streptomycin,general_faq
Which of the following is true about ventilation and perfusion in alveoli in an erect posture,Ventilation/perfusion ratio is maximum at apex,general_faq
"Neurocysticercosis is treated by all the following drugs, EXCEPT -",Albendazole,medicine_info
False about  Corona viruses?,Corona viruses are non-enveloped,general_faq
WHO recommended salt intake -,< 5 gm/d,general_faq
"If hardness level of water is 50-150 mg/L, the water is defined as -",Soft,general_faq
Lens antigen are?,Neoantigen,general_faq
A 5-year-old boy comes with overnight petechial spots 2 weeks back he had a history of abdominal pain and no hepatosplenomegaly. Diagnosis is –,Aute lymphatic leukemia,symptoms_diagnosis
Paradoxical splitting of second hea sound Heard in,RBBB,general_faq
Megaloblastic anemia is due to?,Folic acid deficiency,general_faq
Which of the following relaxes bronchial smooth muscles?,Cold air,general_faq
"A 20 year female presents with a ovarian mass 6x 6 x 6cm in size. Ultrasonography reveals solid structures in the mass. Her serum biomarkers such as AFP. fO-hCG and CA 125 are normal, however, her serum alkaline phosphatase was found to be elevated. The most likely diagnosis is",Dysgerminoma,general_faq
Most vascular structure of eyeball is,Iris,general_faq
Dimension stability of hydrocollids may be achieved by,optimizing w:p,general_faq
Absence of corkscrew glands is seen in,Halban's disease,general_faq
Which anaesthetic agent increases intracranial tension among the following,Thiopentone,general_faq
The PHP index is designed to,Evaluate plaque and calculus on specific tooth surfaces,general_faq
Looser's zones are seen in which of the following ?,Osteomalacia,general_faq
Doxycycline is used in the treatment of following disease except:,Leptopirosis,nutrition_advice
Paget's disease of the nipple is,Superficial manifestation of underlying breast Ca,general_faq
"Collagen is found in following, except?",Ligament,general_faq
Loeffler's medium is-,Indicator medium,general_faq
"After an incised wound, new collagen fibrils are seen along with a thick layer of growing epithelium. The approximate age of the wound is -",12-24 hours,general_faq
All of the following are features of ischemia in anterior choroidal aery territory except?,Hemiparesis,nutrition_advice
Congenital rubella syndrome - true is A/E?,Microcephaly,general_faq
Subclinical infection is seen in all except,Mumps,general_faq
"A patient on Phenytoin therapy develops depression, for which he was prescribed tricyclic anti-Depressants. He now complains of lassitude and his Hb reading is 8gm/dl, the next step in the management of this patient is:",Chest X ray,treatment_procedure
All of the following statements are true about Frey's Syndrome except,Gustatory sweating,general_faq
